FL_DATE,UNIQUE_CARRIER,FL_NUM,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,CRS_ARR_TIME,ARR_TIME,ARR_DELAY_NEW,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DIV_ARR_DELAY
12/1/2017,VX,1001,SFO,San Francisco  CA,DCA,Washington  DC,800,852,52,1603,1648,45,0,,0,45,0,0,0,0,
12/1/2017,VX,1002,DCA,Washington  DC,SFO,San Francisco  CA,1710,1728,18,2022,2033,11,0,,0,,,,,,
12/1/2017,VX,1011,JFK,New York  NY,SFO,San Francisco  CA,730,721,0,1105,1112,7,0,,0,,,,,,
19/1/2017,VX,1012,SFO,San Francisco  CA,JFK,New York  NY,705,653,0,1534,1458,0,0,,0,,,,,,
19/1/2017,VX,1022,SFO,San Francisco  CA,JFK,New York  NY,925,1035,70,1757,1846,49,0,,0,0,0,49,0,0,
12/1/2017,VX,1023,JFK,New York  NY,SFO,San Francisco  CA,930,917,0,1301,1256,0,0,,0,,,,,,
12/1/2017,VX,1024,SFO,San Francisco  CA,JFK,New York  NY,1350,1405,15,2221,2201,0,0,,0,,,,,,
12/1/2017,VX,1025,JFK,New York  NY,SFO,San Francisco  CA,1150,1141,0,1514,1522,8,0,,0,,,,,,
19/1/2017,VX,1026,SFO,San Francisco  CA,JFK,New York  NY,1530,1526,0,2358,2334,0,0,,0,,,,,,
12/1/2017,VX,1027,JFK,New York  NY,SFO,San Francisco  CA,1635,1630,0,2010,2002,0,0,,0,,,,,,
12/1/2017,VX,1029,JFK,New York  NY,SFO,San Francisco  CA,1859,1924,25,2245,2255,10,0,,0,,,,,,
12/1/2017,VX,1034,SFO,San Francisco  CA,JFK,New York  NY,2315,2355,40,742,747,5,0,,0,,,,,,
12/1/2017,VX,1047,SFO,San Francisco  CA,OGG,Kahului  HI,1826,1823,0,2203,2212,9,0,,0,,,,,,
12/1/2017,VX,1048,OGG,Kahului  HI,SFO,San Francisco  CA,2303,2309,6,601,601,0,0,,0,,,,,,
12/1/2017,VX,1050,HNL,Honolulu  HI,SFO,San Francisco  CA,1500,1513,13,2220,2155,0,0,,0,,,,,,
12/1/2017,VX,1051,SFO,San Francisco  CA,HNL,Honolulu  HI,1740,1737,0,2126,2121,0,0,,0,,,,,,
12/1/2017,VX,1057,LAX,Los Angeles  CA,HNL,Honolulu  HI,1000,1024,24,1400,1426,26,0,,0,24,0,2,0,0,
12/1/2017,VX,1060,HNL,Honolulu  HI,LAX,Los Angeles  CA,2230,2247,17,607,542,0,0,,0,,,,,,
12/1/2017,VX,1069,IAD,Washington  DC,SFO,San Francisco  CA,650,637,0,956,949,0,0,,0,,,,,,
12/1/2017,VX,1077,IAD,Washington  DC,SFO,San Francisco  CA,1830,1813,0,2135,2114,0,0,,0,,,,,,
12/1/2017,VX,1084,SFO,San Francisco  CA,IAD,Washington  DC,935,928,0,1733,1722,0,0,,0,,,,,,
12/1/2017,VX,1089,IAD,Washington  DC,LAX,Los Angeles  CA,900,854,0,1147,1129,0,0,,0,,,,,,
12/1/2017,VX,1090,SFO,San Francisco  CA,IAD,Washington  DC,2120,2111,0,521,451,0,0,,0,,,,,,
12/1/2017,VX,1097,IAD,Washington  DC,LAX,Los Angeles  CA,1543,1554,11,1836,1824,0,0,,0,,,,,,
